Date,Product,Category,Quantity,Price_per_unit,Total_value,Region,Costs
2023-01-11,Case,Components,3,56,168,New York,114
2023-01-12,Graphic Card,Components,8,1290,10320,Houston,7072
2023-01-12,Power Supply,Components,4,200,800,Los Angeles,480
2023-01-12,Motherboard,Components,1,496,496,New York,330
2023-01-12,Monitor,Components,7,736,5152,Los Angeles,3220
2023-01-12,Mouse,Peripherals,3,89,267,Houston,159
2023-01-12,SSD,Equipment,9,152,1368,New York,837
2023-01-12,Web Camera,Peripherals,1,180,180,Los Angeles,122
2023-01-12,Mouse,Peripherals,8,74,592,Philadelphia,408
2023-01-12,Processor,Components,2,733,1466,Los Angeles,924
2023-01-12,Headphones,Peripherals,1,205,205,Chicago,132
2023-01-13,USB drive,Equipment,1,16,16,New York,9
2023-01-13,USB drive,Equipment,4,62,248,Chicago,164
2023-01-13,Graphic Card,Components,2,1073,2146,Los Angeles,1370
2023-01-13,Monitor,Components,3,491,1473,San Antonio,912
2023-01-13,Mouse,Peripherals,2,118,236,Los Angeles,150
2023-01-13,Laptop,Computers,4,767,3068,San Antonio,1900
2023-01-13,Power Supply,Components,7,175,1225,Philadelphia,742
2023-01-13,Headphones,Peripherals,8,60,480,New York,320
2023-01-13,USB drive,Equipment,2,77,154,San Diego,94
2023-01-13,Headphones,Peripherals,8,245,1960,New York,1304
2023-01-13,Laptop,Computers,2,1554,3108,San Antonio,1886
2023-01-13,Laptop,Computers,9,1979,17811,Phoenix,11169
2023-01-13,Hard disc,Equipment,8,268,2144,New York,1392
2023-01-14,SSD,Equipment,2,92,184,New York,116
2023-01-14,Motherboard,Components,2,414,828,Philadelphia,520
2023-01-14,Keyboard,Peripherals,8,147,1176,San Diego,784
2023-01-14,Motherboard,Components,1,167,167,Los Angeles,104
2023-01-14,Laptop,Computers,8,1503,12024,Chicago,7808
2023-01-15,Case,Components,6,126,756,Houston,516
2023-01-15,Processor,Components,7,281,1967,Houston,1239
2023-01-15,Power Supply,Components,3,73,219,Chicago,150
2023-01-15,Hard disc,Equipment,2,89,178,Philadelphia,112
2023-01-15,RAM memory,Components,6,252,1512,Houston,948
2023-01-15,RAM memory,Components,2,204,408,Chicago,250
2023-01-16,Motherboard,Components,6,376,2256,Los Angeles,1572
2023-01-16,Power Supply,Components,4,64,256,Chicago,152
2023-01-16,Web Camera,Peripherals,1,146,146,Los Angeles,95
2023-01-16,USB drive,Equipment,2,16,32,San Antonio,20
2023-01-16,RAM memory,Components,3,154,462,Chicago,315
2023-01-17,Laptop,Computers,10,1961,19610,Chicago,12480
2023-01-17,Graphic Card,Components,7,365,2555,Philadelphia,1778
2023-01-17,Mouse,Peripherals,3,132,396,San Antonio,255
2023-01-17,RAM memory,Components,4,269,1076,San Diego,648
2023-01-17,Hard disc,Equipment,5,91,455,New York,305
2023-01-17,Graphic Card,Components,5,606,3030,Los Angeles,2025
2023-01-17,Keyboard,Peripherals,4,120,480,Los Angeles,324
2023-01-18,Graphic Card,Components,6,1130,6780,San Diego,4716
2023-01-18,Motherboard,Components,4,408,1632,Los Angeles,1092
2023-01-18,Processor,Components,6,246,1476,Philadelphia,1026
2023-01-18,USB drive,Equipment,5,46,230,Los Angeles,150
2023-01-18,Monitor,Components,10,272,2720,Chicago,1750
2023-01-18,Power Supply,Components,2,120,240,San Antonio,164
2023-01-18,Graphic Card,Components,2,1480,2960,Houston,1988
2023-01-18,SSD,Equipment,4,242,968,New York,660
2023-01-18,Laptop,Computers,5,678,3390,Los Angeles,2085
2023-01-18,Graphic Card,Components,2,328,656,New York,410
2023-01-18,SSD,Equipment,7,492,3444,Chicago,2387
2023-01-19,Graphic Card,Components,4,486,1944,San Antonio,1332
2023-01-19,Laptop,Computers,4,613,2452,Houston,1596
2023-01-19,Processor,Components,1,841,841,Houston,566
2023-01-19,Case,Components,10,132,1320,Los Angeles,910
2023-01-20,Mouse,Peripherals,7,128,896,Houston,616
2023-01-20,Headphones,Peripherals,4,175,700,San Diego,476
2023-01-20,SSD,Equipment,5,332,1660,San Antonio,995
2023-01-20,Monitor,Components,4,284,1136,New York,704
2023-01-20,Processor,Components,2,743,1486,San Antonio,960
2023-01-20,Power Supply,Components,9,57,513,San Antonio,342
2023-01-21,Web Camera,Peripherals,5,76,380,Chicago,230
2023-01-21,Headphones,Peripherals,4,236,944,San Antonio,604
2023-01-21,Mouse,Peripherals,8,68,544,Chicago,328
2023-01-21,Laptop,Computers,9,1738,15642,Los Angeles,10818
2023-01-21,SSD,Equipment,6,99,594,San Antonio,378
2023-01-22,Power Supply,Components,3,147,441,Los Angeles,291
2023-01-22,Graphic Card,Components,9,771,6939,New York,4563
2023-01-22,Processor,Components,7,766,5362,Los Angeles,3731
2023-01-22,Case,Components,1,33,33,Houston,22
2023-01-22,Keyboard,Peripherals,3,118,354,Houston,228
2023-01-22,Laptop,Computers,9,1562,14058,Phoenix,8964
2023-01-23,SSD,Equipment,7,252,1764,San Diego,1127
2023-01-23,Power Supply,Components,7,170,1190,Los Angeles,791
2023-01-23,Mouse,Peripherals,4,133,532,Los Angeles,360
2023-01-23,Hard disc,Equipment,10,166,1660,San Antonio,1090
2023-01-23,SSD,Equipment,8,366,2928,Philadelphia,1944
2023-01-23,Motherboard,Components,5,383,1915,Chicago,1245
2023-01-23,USB drive,Equipment,5,10,50,Los Angeles,30
2023-01-23,Graphic Card,Components,7,1477,10339,San Antonio,7021
2023-01-24,USB drive,Equipment,9,96,864,Los Angeles,558
2023-01-24,Hard disc,Equipment,1,179,179,San Antonio,122
2023-01-24,Hard disc,Equipment,10,189,1890,San Antonio,1260
2023-01-24,Motherboard,Components,3,429,1287,Philadelphia,846
2023-01-24,USB drive,Equipment,4,54,216,New York,140
2023-01-24,USB drive,Equipment,4,55,220,Houston,136
2023-01-24,Power Supply,Components,6,77,462,Chicago,306
2023-01-24,Hard disc,Equipment,3,192,576,San Diego,375
2023-01-25,Hard disc,Equipment,2,132,264,San Antonio,172
2023-01-25,Processor,Components,6,301,1806,San Antonio,1134
2023-01-25,Power Supply,Components,9,131,1179,Los Angeles,747
2023-01-25,USB drive,Equipment,8,90,720,Philadelphia,456
2023-01-25,SSD,Equipment,6,294,1764,New York,1104
2023-01-25,Web Camera,Peripherals,7,147,1029,Houston,644
2023-01-26,Laptop,Computers,10,1391,13910,Philadelphia,8590
2023-01-26,Power Supply,Components,8,67,536,Phoenix,360
2023-01-26,Motherboard,Components,5,261,1305,Phoenix,895
2023-01-27,Hard disc,Equipment,4,147,588,San Diego,352
2023-01-27,Processor,Components,8,502,4016,San Antonio,2512
2023-01-27,Hard disc,Equipment,4,263,1052,Houston,704
2023-01-27,Headphones,Peripherals,2,251,502,Los Angeles,318
2023-01-27,Headphones,Peripherals,8,311,2488,Los Angeles,1568
2023-01-27,Monitor,Components,8,202,1616,Chicago,1048
2023-01-27,Motherboard,Components,8,210,1680,Los Angeles,1104
2023-01-27,Keyboard,Peripherals,8,43,344,Philadelphia,216
2023-01-27,Mouse,Peripherals,6,43,258,Philadelphia,168
2023-01-28,RAM memory,Components,2,210,420,Phoenix,276
2023-01-28,Hard disc,Equipment,4,65,260,San Diego,176
2023-01-28,Graphic Card,Components,3,732,2196,Philadelphia,1371
2023-01-28,USB drive,Equipment,8,92,736,Houston,472
2023-01-28,RAM memory,Components,1,126,126,Philadelphia,80
2023-01-29,Mouse,Peripherals,5,65,325,Phoenix,210
2023-01-29,Hard disc,Equipment,7,256,1792,Philadelphia,1078
2023-01-29,Laptop,Computers,6,893,5358,Los Angeles,3576
2023-01-29,Monitor,Components,5,316,1580,Los Angeles,1030
2023-01-29,Power Supply,Components,4,199,796,New York,500
2023-01-29,Web Camera,Peripherals,9,103,927,Phoenix,585
2023-01-30,Laptop,Computers,6,1166,6996,San Diego,4800
2023-01-30,Headphones,Peripherals,5,170,850,Houston,560
2023-01-30,Monitor,Components,1,160,160,Philadelphia,98
2023-01-30,Headphones,Peripherals,5,387,1935,New York,1265
2023-01-30,Keyboard,Peripherals,9,34,306,New York,207
2023-01-30,Mouse,Peripherals,5,146,730,Los Angeles,510
2023-01-30,RAM memory,Components,8,267,2136,Philadelphia,1464
2023-01-30,USB drive,Equipment,4,12,48,Los Angeles,28
2023-01-30,Web Camera,Peripherals,3,94,282,Houston,171
2023-01-30,Hard disc,Equipment,1,77,77,Los Angeles,49
2023-01-31,SSD,Equipment,2,333,666,Philadelphia,462
2023-01-31,Hard disc,Equipment,3,247,741,Los Angeles,444
2023-01-31,Case,Components,5,37,185,San Diego,125
2023-01-31,Web Camera,Peripherals,7,119,833,Phoenix,539
2023-01-31,Processor,Components,6,973,5838,San Antonio,4080
2023-01-31,Mouse,Peripherals,4,79,316,New York,204
2023-01-31,Graphic Card,Components,10,1087,10870,Chicago,7290
2023-01-31,Processor,Components,5,661,3305,Philadelphia,2145
2023-01-31,Motherboard,Components,6,311,1866,Phoenix,1296
2023-01-31,USB drive,Equipment,3,82,246,Chicago,150
2023-01-31,USB drive,Equipment,7,36,252,New York,154
2023-02-01,Keyboard,Peripherals,10,203,2030,New York,1370
2023-02-01,Monitor,Components,10,622,6220,San Diego,4010
2023-02-01,Mouse,Peripherals,6,62,372,Los Angeles,246
2023-02-01,Headphones,Peripherals,2,156,312,Los Angeles,192
2023-02-01,Graphic Card,Components,5,441,2205,New York,1365
2023-02-01,Graphic Card,Components,8,1173,9384,Los Angeles,6032
2023-02-01,SSD,Equipment,10,406,4060,Houston,2570
2023-02-01,Web Camera,Peripherals,10,159,1590,San Diego,980
2023-02-02,Motherboard,Components,7,414,2898,New York,1960
2023-02-02,Hard disc,Equipment,5,61,305,San Diego,210
2023-02-02,Laptop,Computers,5,688,3440,Phoenix,2075
2023-02-02,Case,Components,2,96,192,Chicago,126
2023-02-03,Processor,Components,10,280,2800,Philadelphia,1850
2023-02-03,Laptop,Computers,1,814,814,Philadelphia,552
2023-02-03,Motherboard,Components,9,403,3627,Los Angeles,2196
2023-02-03,Headphones,Peripherals,8,400,3200,Chicago,2128
2023-02-04,Web Camera,Peripherals,1,108,108,San Diego,72
2023-02-04,Laptop,Computers,10,1489,14890,Los Angeles,9980
2023-02-04,Headphones,Peripherals,2,243,486,Chicago,322
2023-02-05,Case,Components,9,57,513,New York,324
2023-02-05,RAM memory,Components,3,283,849,San Antonio,543
2023-02-05,SSD,Equipment,10,344,3440,Chicago,2330
2023-02-05,Mouse,Peripherals,2,149,298,Chicago,186
2023-02-05,Headphones,Peripherals,7,141,987,Los Angeles,602
2023-02-05,Graphic Card,Components,10,803,8030,San Diego,5330
2023-02-05,Case,Components,2,68,136,San Diego,82
2023-02-05,Graphic Card,Components,10,945,9450,New York,6430
2023-02-06,Monitor,Components,5,541,2705,Los Angeles,1765
2023-02-06,RAM memory,Components,7,130,910,San Diego,616
2023-02-06,Headphones,Peripherals,6,73,438,San Antonio,264
2023-02-07,Power Supply,Components,10,148,1480,Houston,910
2023-02-07,SSD,Equipment,6,279,1674,Chicago,1122
2023-02-07,Mouse,Peripherals,6,39,234,Chicago,144
2023-02-07,USB drive,Equipment,6,16,96,Los Angeles,60
2023-02-07,Laptop,Computers,3,1490,4470,Chicago,3063
2023-02-07,Hard disc,Equipment,7,174,1218,San Diego,791
2023-02-07,Web Camera,Peripherals,8,192,1536,New York,952
2023-02-07,Graphic Card,Components,2,1443,2886,New York,1960
2023-02-08,Laptop,Computers,5,1699,8495,Los Angeles,5295
2023-02-08,Laptop,Computers,6,975,5850,Chicago,4014
2023-02-08,Keyboard,Peripherals,5,133,665,San Antonio,405
2023-02-08,Headphones,Peripherals,4,213,852,Houston,516
2023-02-09,SSD,Equipment,4,250,1000,Philadelphia,616
2023-02-09,Web Camera,Peripherals,1,89,89,Chicago,59
2023-02-09,Case,Components,7,93,651,San Diego,399
2023-02-09,Mouse,Peripherals,10,131,1310,Philadelphia,830
2023-02-09,Keyboard,Peripherals,2,205,410,San Antonio,254
2023-02-09,USB drive,Equipment,6,98,588,San Diego,366
2023-02-10,Case,Components,6,117,702,New York,420
2023-02-10,Case,Components,10,37,370,Philadelphia,220
2023-02-10,Processor,Components,6,590,3540,Los Angeles,2448
2023-02-10,SSD,Equipment,3,140,420,San Antonio,261
2023-02-10,Graphic Card,Components,1,693,693,San Antonio,470
2023-02-10,Monitor,Components,9,530,4770,San Antonio,3294
2023-02-10,Monitor,Components,9,462,4158,San Antonio,2628
2023-02-10,Power Supply,Components,5,142,710,Philadelphia,480
2023-02-10,Case,Components,7,60,420,Los Angeles,259
2023-02-10,Monitor,Components,8,599,4792,Chicago,3120
2023-02-11,SSD,Equipment,6,317,1902,Chicago,1266
2023-02-11,Keyboard,Peripherals,9,59,531,San Antonio,333
2023-02-11,Hard disc,Equipment,6,231,1386,San Diego,906
2023-02-12,Power Supply,Components,4,160,640,Philadelphia,416
2023-02-12,Case,Components,3,66,198,San Diego,129
2023-02-12,SSD,Equipment,10,87,870,Houston,550
2023-02-12,Mouse,Peripherals,2,90,180,New York,120
2023-02-12,Mouse,Peripherals,10,28,280,Philadelphia,180
2023-02-12,Power Supply,Components,2,121,242,Phoenix,146
2023-02-13,Hard disc,Equipment,6,153,918,Phoenix,600
2023-02-13,Web Camera,Peripherals,9,87,783,Chicago,513
2023-02-13,USB drive,Equipment,7,19,133,Phoenix,84
2023-02-13,Hard disc,Equipment,4,140,560,San Antonio,376
2023-02-13,Motherboard,Components,7,190,1330,San Diego,868
2023-02-13,Graphic Card,Components,2,501,1002,Los Angeles,658
2023-02-13,Web Camera,Peripherals,6,106,636,San Antonio,426
2023-02-13,Hard disc,Equipment,4,285,1140,Houston,684
2023-02-13,Headphones,Peripherals,6,81,486,Phoenix,330
2023-02-13,Hard disc,Equipment,1,102,102,New York,61
2023-02-13,Power Supply,Components,6,151,906,Philadelphia,546
2023-02-13,Graphic Card,Components,3,384,1152,Los Angeles,801
2023-02-14,Power Supply,Components,3,95,285,Houston,195
2023-02-14,Web Camera,Peripherals,5,192,960,Phoenix,665
2023-02-14,Laptop,Computers,4,905,3620,Houston,2272
2023-02-14,Keyboard,Peripherals,8,119,952,San Diego,656
2023-02-14,Mouse,Peripherals,7,58,406,New York,259
2023-02-14,Headphones,Peripherals,10,323,3230,Houston,2210
2023-02-14,Headphones,Peripherals,3,164,492,San Diego,309
2023-02-14,USB drive,Equipment,6,96,576,San Diego,384
2023-02-14,Processor,Components,10,663,6630,Chicago,4190
2023-02-14,Keyboard,Peripherals,2,71,142,Philadelphia,96
2023-02-14,Keyboard,Peripherals,4,137,548,Phoenix,356
2023-02-15,Keyboard,Peripherals,3,183,549,Phoenix,342
2023-02-15,Headphones,Peripherals,1,118,118,Houston,73
2023-02-15,USB drive,Equipment,8,36,288,Houston,176
2023-02-15,Hard disc,Equipment,5,188,940,New York,575
2023-02-16,Monitor,Components,7,763,5341,Houston,3227
2023-02-16,SSD,Equipment,3,279,837,Los Angeles,552
2023-02-16,Case,Components,10,68,680,Phoenix,460
2023-02-16,Case,Components,7,56,392,Los Angeles,266
2023-02-16,Motherboard,Components,2,422,844,Chicago,570
2023-02-16,Power Supply,Components,6,141,846,Houston,546
2023-02-16,Keyboard,Peripherals,4,75,300,Chicago,196
2023-02-16,USB drive,Equipment,6,99,594,New York,360
2023-02-16,Graphic Card,Components,3,987,2961,Phoenix,1794
2023-02-16,SSD,Equipment,4,229,916,Chicago,552
2023-02-17,Case,Components,10,45,450,San Diego,300
2023-02-17,Headphones,Peripherals,7,111,777,Chicago,469
2023-02-17,Laptop,Computers,6,711,4266,Phoenix,2856
2023-02-17,Power Supply,Components,9,116,1044,Chicago,711
2023-02-17,Motherboard,Components,7,452,3164,San Diego,2198
2023-02-17,Keyboard,Peripherals,9,105,945,New York,603
2023-02-17,Keyboard,Peripherals,2,124,248,San Antonio,170
2023-02-17,Keyboard,Peripherals,4,205,820,Los Angeles,504
2023-02-18,Headphones,Peripherals,10,255,2550,Los Angeles,1730
2023-02-18,Keyboard,Peripherals,6,102,612,Chicago,390
2023-02-18,Power Supply,Components,5,91,455,New York,310
2023-02-19,Laptop,Computers,7,1089,7623,Houston,5299
2023-02-19,Motherboard,Components,7,492,3444,Houston,2135
2023-02-19,Headphones,Peripherals,5,321,1605,Los Angeles,1065
2023-02-19,Hard disc,Equipment,5,60,300,San Diego,180
2023-02-19,Power Supply,Components,9,65,585,Philadelphia,396
2023-02-19,SSD,Equipment,1,104,104,San Antonio,72
2023-02-20,Keyboard,Peripherals,3,44,132,New York,87
2023-02-20,USB drive,Equipment,10,64,640,Chicago,420
2023-02-20,USB drive,Equipment,5,59,295,San Antonio,200
2023-02-20,Web Camera,Peripherals,4,68,272,Houston,160
2023-02-20,Mouse,Peripherals,7,76,532,Philadelphia,364
2023-02-21,Headphones,Peripherals,7,217,1519,Philadelphia,938
2023-02-21,Case,Components,6,120,720,Philadelphia,444
2023-02-21,Headphones,Peripherals,8,355,2840,San Diego,1952
2023-02-21,SSD,Equipment,4,142,568,San Diego,364
2023-02-21,Motherboard,Components,6,224,1344,Houston,936
2023-02-21,RAM memory,Components,2,197,394,Philadelphia,244
2023-02-21,Headphones,Peripherals,3,229,687,Chicago,471
2023-02-21,Headphones,Peripherals,3,162,486,Chicago,333
2023-02-22,Laptop,Computers,8,863,6904,Phoenix,4160
2023-02-22,Motherboard,Components,9,399,3591,San Diego,2196
2023-02-23,Mouse,Peripherals,9,118,1062,Chicago,657
2023-02-23,Processor,Components,3,845,2535,Chicago,1632
2023-02-23,Monitor,Components,4,761,3044,San Diego,2004
2023-02-23,Web Camera,Peripherals,4,170,680,New York,468
2023-02-23,Processor,Components,6,639,3834,New York,2670
2023-02-23,Monitor,Components,7,185,1295,Philadelphia,819
2023-02-23,USB drive,Equipment,5,99,495,San Antonio,330
2023-02-23,Power Supply,Components,7,180,1260,San Antonio,819
2023-02-23,Graphic Card,Components,10,1477,14770,New York,9720
2023-02-23,USB drive,Equipment,4,15,60,Houston,36
2023-02-24,Hard disc,Equipment,5,51,255,New York,160
2023-02-24,Mouse,Peripherals,7,79,553,Philadelphia,378
2023-02-24,Case,Components,6,120,720,San Antonio,486
2023-02-24,Hard disc,Equipment,8,287,2296,New York,1440
2023-02-24,Mouse,Peripherals,1,55,55,New York,34
2023-02-24,Monitor,Components,3,205,615,New York,381
2023-02-24,Keyboard,Peripherals,8,99,792,San Antonio,472
2023-02-24,Laptop,Computers,4,834,3336,Houston,2020
2023-02-24,SSD,Equipment,3,447,1341,Los Angeles,861
2023-02-24,Processor,Components,2,726,1452,San Diego,890
2023-02-24,Mouse,Peripherals,6,135,810,New York,540
2023-02-25,Mouse,Peripherals,7,107,749,Phoenix,518
2023-02-25,RAM memory,Components,10,293,2930,San Antonio,1860
2023-02-25,Power Supply,Components,6,183,1098,Los Angeles,744
2023-02-25,Processor,Components,5,973,4865,New York,3315
2023-02-25,SSD,Equipment,7,324,2268,New York,1568
2023-02-25,Web Camera,Peripherals,7,174,1218,Houston,763
2023-02-25,Mouse,Peripherals,1,89,89,Los Angeles,60
2023-02-25,Monitor,Components,9,265,2385,San Antonio,1557
2023-02-26,Web Camera,Peripherals,4,169,676,San Diego,456
2023-02-26,Graphic Card,Components,4,1494,5976,Phoenix,3900
2023-02-26,Case,Components,2,68,136,Chicago,86
2023-02-26,Processor,Components,9,487,4383,San Diego,2979
2023-02-26,SSD,Equipment,3,199,597,Houston,378
2023-02-26,Hard disc,Equipment,10,92,920,Phoenix,580
2023-02-27,Processor,Components,6,482,2892,San Diego,1890
2023-02-27,Mouse,Peripherals,3,82,246,San Antonio,171
2023-02-27,Power Supply,Components,9,126,1134,Philadelphia,738
2023-02-27,Monitor,Components,10,374,3740,San Diego,2250
2023-02-28,Monitor,Components,7,582,4074,Chicago,2611
2023-02-28,SSD,Equipment,2,175,350,Los Angeles,212
2023-02-28,Case,Components,8,71,568,Los Angeles,360
2023-02-28,Case,Components,4,60,240,San Antonio,148
2023-02-28,Motherboard,Components,10,306,3060,Chicago,2030
2023-02-28,Monitor,Components,9,722,6498,San Antonio,4455
2023-03-01,Monitor,Components,2,594,1188,New York,726
2023-03-01,Web Camera,Peripherals,9,124,1116,New York,675
2023-03-02,Keyboard,Peripherals,7,213,1491,San Antonio,952
2023-03-02,Case,Components,1,94,94,Phoenix,61
2023-03-02,Motherboard,Components,7,171,1197,Chicago,735
2023-03-02,Laptop,Computers,3,1355,4065,New York,2745
2023-03-02,Headphones,Peripherals,2,192,384,Phoenix,240
2023-03-02,Mouse,Peripherals,6,143,858,Los Angeles,522
2023-03-03,Motherboard,Components,7,359,2513,San Antonio,1575
2023-03-03,Headphones,Peripherals,10,246,2460,San Antonio,1590
2023-03-03,Hard disc,Equipment,1,257,257,Phoenix,157
2023-03-03,Keyboard,Peripherals,10,188,1880,Los Angeles,1130
2023-03-03,Headphones,Peripherals,7,70,490,San Diego,308
2023-03-03,Keyboard,Peripherals,8,151,1208,Chicago,832
2023-03-03,Keyboard,Peripherals,5,179,895,Philadelphia,575
2023-03-03,Laptop,Computers,9,530,4770,San Antonio,2907
2023-03-03,Power Supply,Components,6,116,696,Philadelphia,456
2023-03-04,Mouse,Peripherals,10,150,1500,New York,1010
2023-03-04,Web Camera,Peripherals,8,191,1528,San Diego,976
2023-03-04,Processor,Components,8,431,3448,New York,2280
2023-03-04,Monitor,Components,4,399,1596,San Diego,1048
2023-03-04,USB drive,Equipment,5,34,170,San Diego,115
2023-03-04,Headphones,Peripherals,1,112,112,Phoenix,76
2023-03-04,Graphic Card,Components,4,900,3600,San Antonio,2292
2023-03-04,RAM memory,Components,8,194,1552,Los Angeles,1080
2023-03-05,RAM memory,Components,3,182,546,Philadelphia,336
2023-03-06,Hard disc,Equipment,5,267,1335,Philadelphia,850
2023-03-06,Keyboard,Peripherals,3,117,351,Houston,216
2023-03-06,Keyboard,Peripherals,7,100,700,San Diego,448
2023-03-06,Headphones,Peripherals,6,169,1014,Houston,612
2023-03-06,RAM memory,Components,8,59,472,New York,296
2023-03-07,Hard disc,Equipment,8,249,1992,Los Angeles,1264
2023-03-07,USB drive,Equipment,4,45,180,Chicago,108
2023-03-07,Laptop,Computers,10,1012,10120,Los Angeles,6180
2023-03-07,Hard disc,Equipment,1,295,295,Houston,184
2023-03-07,Keyboard,Peripherals,1,104,104,Philadelphia,62
2023-03-07,Graphic Card,Components,5,1243,6215,Philadelphia,4090
2023-03-07,SSD,Equipment,10,355,3550,Los Angeles,2380
2023-03-07,Mouse,Peripherals,9,96,864,Los Angeles,567
2023-03-07,Headphones,Peripherals,8,76,608,Los Angeles,400
2023-03-08,Motherboard,Components,9,164,1476,New York,981
2023-03-08,Graphic Card,Components,3,433,1299,Houston,795
